"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2019-08-21T16:12:47+00:00","114-3157601-1841027","DS-0229","B07SZ6CVG2","X0027OU2IN","Homend 1100W Commercial Soy Milk Machine Large Automatic Soy Bean Maker Big Size Soy bean Dregs Separator Organic Soya Tofu Soup Extractor Soya-Bean H","1","TUS1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPM045858979",
"2019-08-21T15:47:23+00:00","702-7211719-0008262","SA-0012F2","B07HT25P5Q","X001WM5TPR","Homend DC12V 6inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN265799254",
"2019-08-21T15:39:50+00:00","702-4112104-5795402","DS-0087B6","B07FXQFWY5","X001UGJ7XZ","Homend 20FT Dog Tie Out Cable and Stake for Dogs, 16.5"" Chrome Plated Anti Rust Stake, Great for Camping or The Garden, Suitable for Harness, Leash &","1","YYC1","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNN264876555",
"2019-08-21T15:31:49+00:00","113-4261558-3591447","JK-0176A","B07D2CNP13","X001S6KK29","Homend Stainless Steel Wall Mount Stair Handrail Brackets w/Base Flange Cover for Wood or Metal Round Top Railing, Satin Finish, 5-Pack (for Square Tu","1","LAS2","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR743033685",
"2019-08-21T15:24:30+00:00","701-3987832-5901003","SA-0014F2","B07HT9DR5X","X001WM5UU1","Homend DC12V 10inch Stroke Linear Actuator with Mounting Bracket 900N(225lbs) Maximum Lift 10mm/s for Recliner TV Table Lift Massage Bed Electric Sofa","1","YYC1","CUSTOMER_DAMAGED","MISSING_PARTS","Unit returned to inventory","LPNN277716221",
"2019-08-21T14:55:10+00:00","113-6274875-3996216","DS-0124-40","B07KTSY794","X001YRHX0J","Homend 40Pack Stainless Steel Kitchen Cabinet Handles T Bar Pull; Kitchen Cabinet Hardware, Dresser Drawer Handles (6"" Overall Length;Hole Centers:3-3","1","LAS2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR742951968",
"2019-08-21T13:57:02+00:00","112-7191662-6691409","CA-0275","B07HQBN2NY","X001WM8R8X","DasMarine 12V Automatic Submersible Boat Bilge Water Pump 760GPH Built-in Auto Float Switch (760GPH)","1","IND8","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNN263288460",
"2019-08-21T13:00:29+00:00","112-9761608-8833052","JJ-0356","B07KJDJGXX","X001YE2JB5","DasMarine 12 Pack D-Ring Tie Downs, 1/4"" D-Rings Anchor Lashing Ring for Loads on Trailers Trucks RV Campers Vans ATV SUV Boats Motorcycles etc Vehicl","1","LEX1","SELLABLE","MISSING_PARTS","Unit returned to inventory","LPNRR788781785",
"2019-08-21T07:52:19+00:00","111-5410087-1401816","DS-0131","B07K41TLVX","X001XYIJPV","Homend Automatic Water Pump Pressure Controller, 110V Automatic Water Pump Pressure Controller with Electronic Pressure Switch Home Accessory","1","LEX2","CUSTOMER_DAMAGED","MISSED_ESTIMATED_DELIVERY","Unit returned to inventory","LPNRR783369358",
"2019-08-21T06:56:46+00:00","113-6367332-9397841","DS-0111R","B07K3S6W38","X00259VRP7","Homend 1500W Electric Countertop Griddle BBQ, Flat Top Commercial Stainless Steel Adjustable Temp Control Restaurant Grill","1","CVG2","SELLABLE","UNDELIVERABLE_INSUFFICIENT_ADDRESS","Unit returned to inventory","LPNRR776820893",
"2019-08-21T06:11:32+00:00","114-2692196-8584200","YI-0383A","B07MLNDX1X","X00202CB8L","DasMarine Heavy Duty 4 Steps Boat Marine Sport/Diver Ladder 316 Stainless Steel Dual Vertical Telescoping Tube with 2.5"" Transom Mounting Extension Sh","1","CVG2","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR769459537","Does not properly describe what model boats this will adhere to.  And does not fit my make model and year of boat.  If description was more detailed I would have known this and not bought it."
"2019-08-21T05:41:37+00:00","112-8771877-5158620","LU-0042","B07R3XYV9F","X0024K4B23","DasMarine Heavy Duty 4 Steps Boat Marine Sport/Diver Ladder 316 Stainless Steel Dual Vertical Telescoping Tube with 2.75"" Transom Mounting Extension S","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRR777557784",
"2019-08-21T05:25:14+00:00","111-2110596-4528234","DS-0164-04","B07M7C5CRK","X00202L77H","Homend 4 Pack Plastic Sofa Legs, Sofa Legs Replacement Furniture Sofa Legs with Mounting Plates Screws Chair/Couch/Loveseat/Cabinet M8 Thread (Metric","1","LAS2","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNRR742309181",
"2019-08-21T04:41:42+00:00","111-6035828-5998646","AB-0296","B07L53VM8P","X001Z3JDEV","Homend Laminate Wood Flooring Installation Kit with Tapping Block, Pull Bar, Mallet and 30 Spacers","1","LEX1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNRR755520532",
"2019-08-21T03:33:49+00:00","111-7905446-7213034","JJ-0356","B07KJDJGXX","X001YE2JB5","DasMarine 12 Pack D-Ring Tie Downs, 1/4"" D-Rings Anchor Lashing Ring for Loads on Trailers Trucks RV Campers Vans ATV SUV Boats Motorcycles etc Vehicl","1","LAS2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRR743169977",
